"CD_DIST";"NM_DIST";"CD_REGIAO";"NM_REGIAO";"CD_UF";"NM_UF";"CD_MUN";"NM_MUN";"CD_NU";"NM_NU";"CD_AGLOM";"NM_AGLOM";"CD_RGINT";"NM_RGINT";"CD_RGI";"NM_RGI";"CD_CONCURB";"NM_CONCURB";"AREA_KM2";"v0001";"v0002";"v0003";"v0004";"v0005";"v0006";"v0007"
"110001505";"Alta Floresta D'Oeste";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";"1100015001";"Loteamento Canaã";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"1625,7315030";"16744";"7687";"7672";"15";"2,7";"0,0320";"6126"
"110001515";"Filadélfia d'Oeste";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"530,4470301";"551";"330";"329";"1";"3,0";"0,0162";"185"
"110001520";"Izidolândia";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"1288,1324938";"532";"319";"319";"0";"3,0";"0,0000";"179"
"110001525";"Nova Gease d'Oeste";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";".";"";"110001500025";"Aldeia Indígena Bananeira";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"1102,3906842";"1175";"512";"509";"3";"3,2";"0,0276";"362"
"110001530";"Rolim de Moura do Guaporé";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";".";"";"110001500003";"Comunidade Quilombola Rolim de Moura do Guaporé";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"2228,0172063";"801";"458";"458";"0";"3,2";"0,0119";"253"
"110001535";"Santo Antônio d'Oeste";"1";"Norte";"11";"Rondônia";"1100015";"Alta Floresta D'Oeste";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"292,4078645";"1691";"775";"775";"0";"2,8";"0,0253";"594"
"110002305";"Ariquemes";"1";"Norte";"11";"Rondônia";"1100023";"Ariquemes";".";"";"110002300015";"Vila Rica";"1101";"Porto Velho";"110002";"Ariquemes";".";"";"4426,1431256";"96833";"44157";"44114";"43";"2,8";"0,0438";"34784"
"110003105";"Cabixi";"1";"Norte";"11";"Rondônia";"1100031";"Cabixi";".";"";"110003100004";"Agrovila do PA Estrela do Oeste";"1102";"Ji-Paraná";"110006";"Vilhena";".";"";"1314,3518453";"5351";"2927";"2921";"6";"2,7";"0,0493";"1967"
"110004905";"Cacoal";"1";"Norte";"11";"Rondônia";"1100049";"Cacoal";"1100049004";"Casa de acolhimento são camilo";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"1163,6878626";"75267";"34941";"34916";"25";"2,7";"0,0287";"27918"
"110004910";"Riozinho";"1";"Norte";"11";"Rondônia";"1100049";"Cacoal";"1100049001";"canelinha";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"2609,0439650";"11350";"5852";"5852";"0";"2,9";"0,0054";"3919"
"110004915";"Divinópolis";"1";"Norte";"11";"Rondônia";"1100049";"Cacoal";".";"";".";"";"1102";"Ji-Paraná";"110005";"Cacoal";".";"";"20,2678790";"270";"137";"137";"0";"2,9";"0,0000";"94"
"110005605";"Cerejeiras";"1";"Norte";"11";"Rondônia";"1100056";"Cerejeiras";".";"";".";"";"1102";"Ji-Paraná";"110006";"Vilhena";".";"";"2783,2970407";"15890";"7069";"7064";"5";"2,7";"0,0393";"5876"
"110006405";"Colorado do Oeste";"1";"Norte";"11";"Rondônia";"1100064";"Colorado do Oeste";".";"";".";"";"1102";"Ji-Paraná";"110006";"Vilhena";".";"";"1451,0627783";"15663";"8150";"8146";"4";"2,6";"0,0447";"5991"
"110007205";"Corumbiara";"1";"Norte";"11";"Rondônia";"1100072";"Corumbiara";".";"";"110007200003";"Aldeia Indígena Kanoê";"1102";"Ji-Paraná";"110006";"Vilhena";".";"";"3060,3214759";"7519";"3960";"3920";"40";"2,6";"0,0464";"2842"
"110008005";"Costa Marques";"1";"Norte";"11";"Rondônia";"1100080";"Costa Marques";".";"";".";"";"1102";"Ji-Paraná";"110004";"Ji-Paraná";".";"";"2930,2476710";"8979";"3964";"3953";"11";"3,1";"0,0063";"2876"
"110008015";"Real Forte Príncipe da Beira";"1";"Norte";"11";"Rondônia";"1100080";"Costa Marques";".";"";"110008000005";"Comunidade Quilombola Forte Principe da Beira";"1102";"Ji-Paraná";"110004";"Ji-Paraná";".";"";"235,3846181";"239";"106";"106";"0";"3,1";"0,0000";"76"
