CD_DIST,NM_DIST,M >= 60 ANOS,F >= 60 ANOS,OBITOS TOTAIS (M+F),PCT_DOMICILIOS_COM_OBITO,2019 (M+F >= 60 anos),2020 (M+F >= 60 anos),2021 (M+F >= 60 anos),2022 (M+F >= 60 anos),AREA_KM2,POP_TOTAL,DENSIDADE_DEMOGRAFICA,PCT_IDOSOS,OBITOS_PER_CAPITA
110001505,Alta Floresta D'Oeste,64.0,36.0,272.0,4.7642356012400064,9.0,0.0,13.0,21.0,1625.731503,16744.0,10.299363682811036,0.5972288580984233,0.016244624940277116
110001515,Filadélfia d'Oeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.4470301,551.0,1.0387465076317335,0.0,0.0
110001520,Izidolândia,0.0,0.0,0.0,2.247191011235955,0.0,0.0,0.0,0.0,1288.1324938,532.0,0.4130009937336463,0.0,0.0
110001525,Nova Gease d'Oeste,0.0,0.0,0.0,1.2084592145015105,0.0,0.0,0.0,0.0,1102.3906842,1175.0,1.0658653205625483,0.0,0.0
110001530,Rolim de Moura do Guaporé,0.0,0.0,7.0,3.571428571428571,0.0,0.0,0.0,0.0,2228.0172063,801.0,0.3595124838960271,0.0,0.008739076154806492
110001535,Santo Antônio d'Oeste,3.0,3.0,14.0,3.2203389830508473,0.0,0.0,0.0,0.0,292.4078645,1691.0,5.783018192385177,0.35481963335304556,0.00827912477823773
110002305,Ariquemes,437.0,268.0,1621.0,4.909367728591537,40.0,95.0,203.0,53.0,4426.1431256,96833.0,21.877512148203184,0.7280575836749869,0.016740160895562465
110003105,Cabixi,20.0,9.0,93.0,5.348955680081509,6.0,3.0,0.0,3.0,1314.3518453,5351.0,4.071208192185889,0.541954774808447,0.017379928985236406
110004905,Cacoal,279.0,202.0,1127.0,4.255547602004295,45.0,40.0,108.0,41.0,1163.6878626,75267.0,64.6797155998798,0.639058285835758,0.014973361499727637
110004910,Riozinho,22.0,26.0,119.0,3.7380768239236914,3.0,4.0,8.0,0.0,2609.043965,11350.0,4.350252487983659,0.4229074889867841,0.010484581497797357
110004915,Divinópolis,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,0.0,20.267879,270.0,13.321571536913162,0.0,0.0
110005605,Cerejeiras,65.0,66.0,291.0,5.170947440040823,5.0,14.0,18.0,18.0,2783.2970407,15890.0,5.7090564778539274,0.8244178728760228,0.01831340465701699
110006405,Colorado do Oeste,64.0,51.0,265.0,4.792919171676687,3.0,11.0,27.0,7.0,1451.0627783,15663.0,10.794157381908775,0.7342143906020557,0.016918853348656067
110007205,Corumbiara,12.0,17.0,89.0,3.904326415758002,0.0,0.0,12.0,7.0,3060.3214759,7519.0,2.456931423450787,0.3856895863811677,0.01183668040962894
110008005,Costa Marques,34.0,22.0,172.0,6.308492201039861,7.0,4.0,14.0,0.0,2930.247671,8979.0,3.064246100718085,0.6236774696514088,0.01915580799643613
110008015,Real Forte Príncipe da Beira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.3846181,239.0,1.0153594654110492,0.0,0.0
110008035,São Domingos do Guaporé,3.0,3.0,40.0,4.125412541254125,0.0,0.0,0.0,0.0,1821.5443448,3409.0,1.8714888878394544,0.1760046934584922,0.011733646230566148
110009805,Espigão D'Oeste,109.0,51.0,374.0,4.4874715261958995,16.0,9.0,58.0,10.0,2647.50091,24671.0,9.318599252152854,0.6485347168740626,0.015159499006931214
110009810,Boa Vista do Pacarana,0.0,0.0,12.0,3.1192660550458715,0.0,0.0,0.0,0.0,744.8558831,1602.0,2.150751623700238,0.0,0.00749063670411985
110009812,Novo Paraíso,8.0,6.0,16.0,3.524229074889868,0.0,0.0,0.0,0.0,347.6618512,1278.0,3.675985718849558,1.0954616588419406,0.012519561815336464
110009815,Flor da Serra,0.0,0.0,3.0,2.348993288590604,0.0,0.0,0.0,0.0,617.6998765,873.0,1.4133077133616685,0.0,0.003436426116838488
110009818,Nova Esperança,10.0,3.0,17.0,4.774535809018567,0.0,0.0,4.0,0.0,160.3192896,990.0,6.175177063658845,1.3131313131313131,0.01717171717171717
110010605,Guajará-Mirim,143.0,163.0,658.0,6.294285451366523,25.0,33.0,97.0,17.0,21367.2798521,35692.0,1.6704044804510831,0.8573349770256641,0.01843550375434271
110010612,Iata,0.0,0.0,9.0,2.3195876288659796,0.0,0.0,0.0,0.0,847.440653,1610.0,1.8998380527302836,0.0,0.0055900621118012426
110010622,Surpresa,5.0,4.0,24.0,5.172413793103448,0.0,0.0,0.0,0.0,2642.1563898,2085.0,0.7891281560959477,0.4316546762589928,0.011510791366906475
110011405,Jaru,160.0,117.0,663.0,4.250614250614251,14.0,21.0,54.0,38.0,1295.3822775,43265.0,33.39940707194058,0.6402403790592858,0.015324165029469547
110011410,Bom Jesus,9.0,10.0,37.0,6.6770186335403725,3.0,3.0,3.0,0.0,487.3064496,1747.0,3.5850130886508995,1.0875787063537492,0.021179164281625643
110011420,Santa Cruz da Serra,0.0,0.0,4.0,3.3333333333333335,0.0,0.0,0.0,0.0,345.4568602,904.0,2.6168245710235283,0.0,0.004424778761061947
110011425,Tarilândia,23.0,10.0,76.0,5.008736167734421,3.0,3.0,6.0,0.0,815.9940747,4675.0,5.729208268722738,0.7058823529411765,0.01625668449197861
110012205,Ji-Paraná,467.0,310.0,1961.0,4.701040356693723,77.0,68.0,226.0,48.0,6317.6289672,120682.0,19.102419693615968,0.6438408379045756,0.01624931638521072
110012220,Nova Colina,5.0,0.0,14.0,5.115089514066496,0.0,3.0,0.0,3.0,335.6418749,1108.0,3.301137560175153,0.45126353790613716,0.01263537906137184
110012225,Nova Londrina,23.0,17.0,52.0,5.638297872340425,0.0,3.0,14.0,4.0,243.3778564,2543.0,10.44877310374733,1.5729453401494298,0.020448289421942586
110013005,Machadinho D'Oeste,64.0,16.0,312.0,3.9642657733109994,3.0,3.0,30.0,3.0,5225.3062539,25061.0,4.796082522683771,0.319221100514744,0.012449622920075017
110013015,Oriente Novo,3.0,5.0,17.0,3.3625730994152043,0.0,0.0,0.0,0.0,699.1907222,2054.0,2.937682001181451,0.3894839337877313,0.008276533592989289
110013020,Quinto BEC,10.0,18.0,62.0,6.609808102345416,3.0,0.0,10.0,0.0,233.051804,2646.0,11.353698854011016,1.0582010582010581,0.02343159486016629
110013025,Tabajara,0.0,0.0,9.0,3.3003300330033,0.0,0.0,0.0,0.0,2351.7210794,946.0,0.40225858767288647,0.0,0.009513742071881607
110014805,Nova Brasilândia D'Oeste,59.0,18.0,189.0,3.9510006901311248,6.0,7.0,16.0,7.0,1703.0075289,15679.0,9.20665336701554,0.49110274889980227,0.012054340200267874
110015505,Ouro Preto do Oeste,144.0,99.0,554.0,4.725168756027001,19.0,19.0,34.0,28.0,1311.629877,32633.0,24.879732134982465,0.7446449912665094,0.01697668004780437
